observation_date,HOUST
1/1/93,1210
2/1/93,1210
3/1/93,1083
4/1/93,1258
5/1/93,1260
6/1/93,1280
7/1/93,1254
8/1/93,1300
9/1/93,1343
10/1/93,1392
11/1/93,1376
12/1/93,1533
1/1/94,1272
2/1/94,1337
3/1/94,1564
4/1/94,1465
5/1/94,1526
6/1/94,1409
7/1/94,1439
8/1/94,1450
9/1/94,1474
10/1/94,1450
11/1/94,1511
12/1/94,1455
1/1/95,1407
2/1/95,1316
3/1/95,1249
4/1/95,1267
5/1/95,1314
6/1/95,1281
7/1/95,1461
8/1/95,1416
9/1/95,1369
10/1/95,1369
11/1/95,1452
12/1/95,1431
1/1/96,1467
2/1/96,1491
3/1/96,1424
4/1/96,1516
5/1/96,1504
6/1/96,1467
7/1/96,1472
8/1/96,1557
9/1/96,1475
10/1/96,1392
11/1/96,1489
12/1/96,1370
1/1/97,1355
2/1/97,1486
3/1/97,1457
4/1/97,1492
5/1/97,1442
6/1/97,1494
7/1/97,1437
8/1/97,1390
9/1/97,1546
10/1/97,1520
11/1/97,1510
12/1/97,1566
1/1/98,1525
2/1/98,1584
3/1/98,1567
4/1/98,1540
5/1/98,1536
6/1/98,1641
7/1/98,1698
8/1/98,1614
9/1/98,1582
10/1/98,1715
11/1/98,1660
12/1/98,1792
1/1/99,1748
2/1/99,1670
3/1/99,1710
4/1/99,1553
5/1/99,1611
6/1/99,1559
7/1/99,1669
8/1/99,1648
9/1/99,1635
10/1/99,1608
11/1/99,1648
12/1/99,1708
1/1/00,1636
2/1/00,1737
3/1/00,1604
4/1/00,1626
5/1/00,1575
6/1/00,1559
7/1/00,1463
8/1/00,1541
9/1/00,1507
10/1/00,1549
11/1/00,1551
12/1/00,1532
1/1/01,1600
2/1/01,1625
3/1/01,1590
4/1/01,1649
5/1/01,1605
6/1/01,1636
7/1/01,1670
8/1/01,1567
9/1/01,1562
10/1/01,1540
11/1/01,1602
12/1/01,1568
1/1/02,1698
2/1/02,1829
3/1/02,1642
4/1/02,1592
5/1/02,1764
6/1/02,1717
7/1/02,1655
8/1/02,1633
9/1/02,1804
10/1/02,1648
11/1/02,1753
12/1/02,1788
1/1/03,1853
2/1/03,1629
3/1/03,1726
4/1/03,1643
5/1/03,1751
6/1/03,1867
7/1/03,1897
8/1/03,1833
9/1/03,1939
10/1/03,1967
11/1/03,2083
12/1/03,2057
1/1/04,1911
2/1/04,1846
3/1/04,1998
4/1/04,2003
5/1/04,1981
6/1/04,1828
7/1/04,2002
8/1/04,2024
9/1/04,1905
10/1/04,2072
11/1/04,1782
12/1/04,2042
1/1/05,2144
2/1/05,2207
3/1/05,1864
4/1/05,2061
5/1/05,2025
6/1/05,2068
7/1/05,2054
8/1/05,2095
9/1/05,2151
10/1/05,2065
11/1/05,2147
12/1/05,1994
1/1/06,2273
2/1/06,2119
3/1/06,1969
4/1/06,1821
5/1/06,1942
6/1/06,1802
7/1/06,1737
8/1/06,1650
9/1/06,1720
10/1/06,1491
11/1/06,1570
12/1/06,1649
1/1/07,1409
2/1/07,1480
3/1/07,1495
4/1/07,1490
5/1/07,1415
6/1/07,1448
7/1/07,1354
8/1/07,1330
9/1/07,1183
10/1/07,1264
11/1/07,1197
12/1/07,1037
1/1/08,1084
2/1/08,1103
3/1/08,1005
4/1/08,1013
5/1/08,973
6/1/08,1046
7/1/08,923
8/1/08,844
9/1/08,820
10/1/08,777
11/1/08,652
12/1/08,560
1/1/09,490
2/1/09,582
3/1/09,505
4/1/09,478
5/1/09,540
6/1/09,585
7/1/09,594
8/1/09,586
9/1/09,585
10/1/09,534
11/1/09,588
12/1/09,581
1/1/10,614
2/1/10,604
3/1/10,636
4/1/10,687
5/1/10,583
6/1/10,536
7/1/10,546
8/1/10,599
9/1/10,594
10/1/10,543
11/1/10,545
12/1/10,539
1/1/11,630
2/1/11,517
3/1/11,600
4/1/11,554
5/1/11,561
6/1/11,608
7/1/11,623
8/1/11,585
9/1/11,650
10/1/11,610
11/1/11,711
12/1/11,694
1/1/12,723
2/1/12,704
3/1/12,695
4/1/12,753
5/1/12,708
6/1/12,757
7/1/12,740
8/1/12,754
9/1/12,847
10/1/12,915
11/1/12,833
12/1/12,976
1/1/13,888
2/1/13,970
3/1/13,999
4/1/13,826
5/1/13,920
6/1/13,852
7/1/13,891
8/1/13,898
9/1/13,860
10/1/13,921
11/1/13,1104
12/1/13,1010
1/1/14,902
2/1/14,948
3/1/14,973
4/1/14,1038
5/1/14,987
6/1/14,928
7/1/14,1085
8/1/14,984
9/1/14,999
10/1/14,1094
11/1/14,994
12/1/14,1081
1/1/15,1101
2/1/15,893
3/1/15,964
4/1/15,1192
5/1/15,1063
6/1/15,1213
7/1/15,1147
8/1/15,1132
9/1/15,1189
10/1/15,1073
11/1/15,1171
12/1/15,1160
1/1/16,1128
2/1/16,1213
3/1/16,1113
4/1/16,1155
5/1/16,1135
6/1/16,1189