Period,Value
1/1/92,1509 
2/1/92,1541 
3/1/92,1597 
4/1/92,1675 
5/1/92,1822 
6/1/92,1775 
7/1/92,1912 
8/1/92,1862 
9/1/92,1770 
10/1/92,1882 
11/1/92,1831 
12/1/92,2511 
1/1/93,1614 
2/1/93,1529 
3/1/93,1678 
4/1/93,1713 
5/1/93,1796 
6/1/93,1792 
7/1/93,1950 
8/1/93,1777 
9/1/93,1707 
10/1/93,1757 
11/1/93,1782 
12/1/93,2443 
1/1/94,1548 
2/1/94,1505 
3/1/94,1714 
4/1/94,1757 
5/1/94,1830 
6/1/94,1857 
7/1/94,1981 
8/1/94,1858 
9/1/94,1823 
10/1/94,1806 
11/1/94,1845 
12/1/94,2577 
1/1/95,1555 
2/1/95,1501 
3/1/95,1725 
4/1/95,1699 
5/1/95,1807 
6/1/95,1863 
7/1/95,1886 
8/1/95,1861 
9/1/95,1845 
10/1/95,1788 
11/1/95,1879 
12/1/95,2598 
1/1/96,1679 
2/1/96,1652 
3/1/96,1837 
4/1/96,1798 
5/1/96,1957 
6/1/96,1958 
7/1/96,2034 
8/1/96,2062 
9/1/96,1781 
10/1/96,1860 
11/1/96,1992 
12/1/96,2547 
1/1/97,1706 
2/1/97,1621 
3/1/97,1853 
4/1/97,1817 
5/1/97,2060 
6/1/97,2002 
7/1/97,2098 
8/1/97,2079 
9/1/97,1892 
10/1/97,2050 
11/1/97,2082 
12/1/97,2821 
1/1/98,1846 
2/1/98,1768 
3/1/98,1894 
4/1/98,1963 
5/1/98,2140 
6/1/98,2059 
7/1/98,2209 
8/1/98,2118 
9/1/98,2031 
10/1/98,2163 
11/1/98,2154 
12/1/98,3037 
1/1/99,1866 
2/1/99,1808 
3/1/99,1986 
4/1/99,2099 
5/1/99,2210 
6/1/99,2145 
7/1/99,2339 
8/1/99,2140 
9/1/99,2126 
10/1/99,2219 
11/1/99,2273 
12/1/99,3265 
1/1/00,1920 
2/1/00,1976 
3/1/00,2190 
4/1/00,2132 
5/1/00,2357 
6/1/00,2413 
7/1/00,2463 
8/1/00,2422 
9/1/00,2358 
10/1/00,2352 
11/1/00,2549 
12/1/00,3375 
1/1/01,2109 
2/1/01,2052 
3/1/01,2327 
4/1/01,2231 
5/1/01,2470 
6/1/01,2526 
7/1/01,2483 
8/1/01,2518 
9/1/01,2316 
10/1/01,2409 
11/1/01,2638 
12/1/01,3542 
1/1/02,2114 
2/1/02,2109 
3/1/02,2366 
4/1/02,2300 
5/1/02,2569 
6/1/02,2486 
7/1/02,2568 
8/1/02,2595 
9/1/02,2297 
10/1/02,2401 
11/1/02,2601 
12/1/02,3488 
1/1/03,2121 
2/1/03,2046 
3/1/03,2273 
4/1/03,2333 
5/1/03,2576 
6/1/03,2433 
7/1/03,2611 
8/1/03,2660 
9/1/03,2461 
10/1/03,2641 
11/1/03,2660 
12/1/03,3654 
1/1/04,2293 
2/1/04,2219 
3/1/04,2398 
4/1/04,2553 
5/1/04,2685 
6/1/04,2643 
7/1/04,2867 
8/1/04,2622 
9/1/04,2618 
10/1/04,2727 
11/1/04,2763 
12/1/04,3801 
1/1/05,2219 
2/1/05,2316 
3/1/05,2530 
4/1/05,2640 
5/1/05,2709 
6/1/05,2783 
7/1/05,2924 
8/1/05,2791 
9/1/05,2784 
10/1/05,2801 
11/1/05,2933 
12/1/05,4137 
1/1/06,2424 
2/1/06,2519 
3/1/06,2753 
4/1/06,2791 
5/1/06,3017 
6/1/06,3055 
7/1/06,3117 
8/1/06,3024 
9/1/06,2997 
10/1/06,2913 
11/1/06,3137 
12/1/06,4269 
1/1/07,2569 
2/1/07,2603 
3/1/07,3005 
4/1/07,2867 
5/1/07,3262 
6/1/07,3364 
7/1/07,3322 
8/1/07,3292 
9/1/07,3057 
10/1/07,3087 
11/1/07,3297 
12/1/07,4403 
1/1/08,2675 
2/1/08,2806 
3/1/08,2989 
4/1/08,2997 
5/1/08,3420 
6/1/08,3280 
7/1/08,3517 
8/1/08,3473 
9/1/08,3150 
10/1/08,3351 
11/1/08,3387 
12/1/08,4459 
1/1/09,2912 
2/1/09,2781 
3/1/09,3024 
4/1/09,3130 
5/1/09,3467 
6/1/09,3306 
7/1/09,3556 
8/1/09,3399 
9/1/09,3263 
10/1/09,3425 
11/1/09,3356 
12/1/09,4626 
1/1/10,2877 
2/1/10,2916 
3/1/10,3214 
4/1/10,3310 
5/1/10,3466 
6/1/10,3438 
7/1/10,3657 
8/1/10,3455 
9/1/10,3365 
10/1/10,3497 
11/1/10,3524 
12/1/10,4683 
1/1/11,2888 
2/1/11,2985 
3/1/11,3249 
4/1/11,3363 
5/1/11,3471 
6/1/11,3551 
7/1/11,3740 
8/1/11,3576 
9/1/11,3517 
10/1/11,3515 
11/1/11,3646 
12/1/11,4892 
1/1/12,2995 
2/1/12,3202 
3/1/12,3549 
4/1/12,3409 
5/1/12,3786 
6/1/12,3815 
7/1/12,3733 
8/1/12,3752 
9/1/12,3503 
10/1/12,3626 
11/1/12,3869 
12/1/12,5126 
1/1/13,3158 
2/1/13,3231 
3/1/13,3625 
4/1/13,3465 
5/1/13,3973 
6/1/13,3817 
7/1/13,4010 
8/1/13,4078 
9/1/13,3643 
10/1/13,3799 
11/1/13,4043 
12/1/13,5235 
1/1/14,3373 
2/1/14,3353 
3/1/14,3679 
4/1/14,3699 
5/1/14,4187 
6/1/14,4086 
7/1/14,4240 
8/1/14,4216 
9/1/14,3856 
10/1/14,4087 
11/1/14,4133 
12/1/14,5606 
1/1/15,3576 
2/1/15,3517 
3/1/15,3881 
4/1/15,3864 
5/1/15,4369 
6/1/15,4241 
7/1/15,4524 
8/1/15,4248 
9/1/15,4091 
10/1/15,4291 
11/1/15,4241 
12/1/15,5834 
1/1/16,3559 
2/1/16,3718 
3/1/16,3986 
4/1/16,4043 
5/1/16,4311 